date,all tweets,positive tweets,negative tweets,neutral tweets,Total
2020-03-04,17,7,2,8,17
2020-03-05,30,5,8,17,30
2020-03-06,15,9,2,4,15
2020-03-07,9,3,1,5,9
2020-03-08,13,4,5,4,13
2020-03-09,71,22,17,32,71
2020-03-10,287,127,67,93,287
2020-03-11,438,175,106,157,438
2020-03-12,975,393,207,375,975
2020-03-13,1712,794,383,535,1712
2020-03-14,842,397,195,250,842
2020-03-15,961,442,204,315,961
2020-03-16,1035,493,205,337,1035
2020-03-17,1431,673,257,501,1431
2020-03-18,961,434,207,320,961
2020-03-19,1302,617,278,407,1302
2020-03-20,1238,582,246,410,1238
2020-03-21,1247,568,238,441,1247
2020-03-22,1073,515,195,363,1073
2020-03-23,911,453,194,264,911
2020-03-24,869,459,154,256,869
2020-03-25,915,473,159,283,915
2020-03-26,1199,573,227,399,1199
2020-03-27,947,489,170,288,947
2020-03-28,980,457,167,356,980
